Unnamed: 0,num,snap_lat,snap_lon,hex_id,type
0,2.0,40.598594,-73.933758,66,0
1,5.0,40.624753,-74.023958,142,0
2,2.0,40.634928,-74.016145,189,0
3,10.0,40.646731,-73.777077,269,0
4,12.0,40.657754,-74.008296,274,0
5,1.0,40.657926,-73.978762,278,0
6,1.0,40.657926,-73.978762,278,1
7,4.0,40.654689,-73.941199,283,0
8,60.0,40.654543,-73.760397,305,0
9,4.0,40.66117,-73.791438,339,1
10,4.0,40.671211,-74.008736,349,0
11,4.0,40.668176,-73.985968,352,0
12,10.0,40.670992,-73.96418,355,1
13,7.0,40.677737,-73.993795,390,0
14,12.0,40.67429,-73.986376,391,0
15,3.0,40.674426,-73.971443,393,0
16,4.0,40.677695,-73.963743,394,0
17,2.0,40.677594,-73.94871,396,0
18,2.0,40.674401,-73.91111,401,0
19,1.0,40.677881,-73.903583,402,0
20,4.0,40.680972,-73.986129,430,0
21,18.0,40.684234,-73.97852,431,0
22,4.0,40.680975,-73.971076,432,0
23,12.0,40.680975,-73.971076,432,1
24,6.0,40.684271,-73.963954,433,0
25,2.0,40.684118,-73.843892,449,0
26,11.0,40.690813,-73.993742,469,0
27,7.0,40.687491,-73.986274,470,0
28,8.0,40.690892,-73.978799,471,0
29,6.0,40.694075,-74.000751,505,0
30,6.0,40.697629,-73.993638,506,0
31,38.0,40.694925,-73.986156,507,0
32,8.0,40.698172,-73.97865,508,0
33,2.0,40.694217,-73.971059,509,0
34,4.0,40.697469,-73.963873,510,0
35,2.0,40.697369,-73.813687,530,0
36,10.0,40.704116,-74.008677,544,0
37,10.0,40.7039,-73.993977,546,0
38,5.0,40.700839,-73.986174,547,0
39,26.0,40.7004,-73.971821,549,0
40,2.0,40.704121,-73.88851,560,0
41,7.0,40.704007,-73.798505,572,0
42,23.0,40.707341,-74.01594,582,0
43,4.0,40.710702,-74.008698,583,0
44,6.0,40.707366,-74.001168,584,0
45,2.0,40.707046,-73.970817,588,0
46,4.0,40.71073,-73.963682,589,0
47,10.0,40.70696,-73.866757,602,1
48,5.0,40.710856,-73.828786,607,0
49,2.0,40.707597,-73.806148,610,0
50,3.0,40.707204,-73.790989,612,0
51,9.0,40.714212,-74.01664,621,0
52,5.0,40.714212,-74.01664,621,1
53,25.0,40.717418,-74.008606,622,0
54,9.0,40.713665,-74.001546,623,0
55,8.0,40.717226,-73.993434,624,0
56,6.0,40.717226,-73.993434,624,1
57,3.0,40.713711,-73.986158,625,0
58,25.0,40.71703,-73.963864,628,0
59,6.0,40.713986,-73.956057,629,0
60,4.0,40.717337,-73.948642,630,0
61,6.0,40.71748,-73.933681,632,0
62,1.0,40.717572,-73.918733,634,0
63,4.0,40.716899,-73.828479,646,0
64,2.0,40.718113,-74.015038,660,0
65,3.0,40.724042,-74.008668,661,0
66,8.0,40.720484,-74.000962,662,0
67,10.0,40.720609,-73.986229,664,0
68,7.0,40.72055,-73.956154,668,0
69,4.0,40.72055,-73.956154,668,1
70,5.0,40.720351,-73.851095,682,0
71,5.0,40.720351,-73.836504,684,0
72,10.0,40.730397,-74.008719,700,0
73,7.0,40.727409,-74.001021,701,0
74,23.0,40.730474,-73.993647,702,0
75,9.0,40.727183,-73.986212,703,0
76,2.0,40.727189,-73.896554,715,0
77,5.0,40.730383,-73.85856,720,0
78,4.0,40.727152,-73.851027,721,0
79,11.0,40.736952,-74.008699,741,0
80,26.0,40.736974,-73.993793,743,0
81,14.0,40.733782,-73.986213,744,0
82,10.0,40.73703,-73.978431,745,0
83,5.0,40.733794,-73.956166,748,0
84,10.0,40.736284,-73.948709,749,0
85,1.0,40.737068,-73.873167,759,0
86,13.0,40.737068,-73.873167,759,1
87,4.0,40.733746,-73.866025,760,0
88,4.0,40.737108,-73.813493,767,0
89,5.0,40.743692,-74.008629,781,0
90,14.0,40.740178,-74.001366,782,0
